,df,AIC,ResDev,dAIC
SizeSpeciesint,19,1147.679,77.961,
SizeSpecies,11,1148.476,88.516,0.797
Speciesm,10,1149.565,90.592,1.089
SizeSSSpecies,14,1152.401,87.145,2.836
SSSpecies,13,1153.193,88.993,0.792
SizeDiet,7,1157.485,100.502,4.292
SizeSSDiet,10,1159.482,97.557,1.997
Dietm,6,1159.757,103.731,0.275
SSDiet,9,1160.863,100.039,1.106
SizeDietint,11,1163.427,98.977,2.564
SizeSSFunc,9,1173.822,110.083,10.395
SSFunc,8,1177.873,115.073,4.051
SizeSSint,9,1177.908,113.431,0.035
SizeSS,6,1177.941,118.539,0.033
Sizem,3,1180.508,126.141,2.567
SizeFunc,6,1183.469,123.397,2.961
SSm,5,1183.673,125.382,0.204
SizeFuncint,9,1184.835,119.314,1.162
Funcm,5,1192.168,133.299,7.333
